author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name,enviro_vars
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 22:6 (n-3),measurement,mass %,7,juvenile,10.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 14:00,measurement,mass %,8,adult,6.8,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:00,measurement,mass %,8,adult,20.6,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:1 (n-7),measurement,mass %,8,adult,5.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:0,measurement,mass %,8,adult,1.6,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-9),measurement,mass %,8,adult,13.3,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-7),measurement,mass %,8,adult,7.7,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:2 (n-6),measurement,mass %,8,adult,2.4,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:3 (n-3),measurement,mass %,8,adult,0.7,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:4 (n-3),measurement,mass %,8,adult,2.4,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 20:1 (n-9),measurement,mass %,8,adult,0.9,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 20:4 (n-6),measurement,mass %,8,adult,1.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 20:5 (n-3),measurement,mass %,8,adult,20.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 22:6 (n-3),measurement,mass %,8,adult,13.1,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 14:00,measurement,mass %,5,adult,11.9,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:00,measurement,mass %,5,adult,20.9,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:1 (n-7),measurement,mass %,5,adult,5.6,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:0,measurement,mass %,5,adult,1.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-9),measurement,mass %,5,adult,17,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-7),measurement,mass %,5,adult,7,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:2 (n-6),measurement,mass %,5,adult,2.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:3 (n-3),measurement,mass %,5,adult,0.9,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:4 (n-3),measurement,mass %,5,adult,5.1,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 20:1 (n-9),measurement,mass %,5,adult,1.3,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 20:4 (n-6),measurement,mass %,5,adult,0.7,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 20:5 (n-3),measurement,mass %,5,adult,12.8,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 22:6 (n-3),measurement,mass %,5,adult,10.1,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 14:00,measurement,mass %,5,adult,7.7,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:00,measurement,mass %,5,adult,21.6,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:1 (n-7),measurement,mass %,5,adult,6.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:0,measurement,mass %,5,adult,1.8,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-9),measurement,mass %,5,adult,13.4,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-7),measurement,mass %,5,adult,7.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:2 (n-6),measurement,mass %,5,adult,2.7,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,spring,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:3 (n-3),measurement,mass %,5,adult,0.6,validation,spawning,state_var,tissue_reserves_lipids,NA
