author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name,enviro_vars
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2002-2006,South Georgia,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,1.3,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2002-2006,South Georgia,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,1.3,validation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,"2004, 2007",South Georgia,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,1.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,"2004, 2007",South Georgia,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,1.2,validation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2006,Scotia Sea,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,0.4,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2006,Scotia Sea,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,0.4,validation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2003,Scotia Sea,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,1.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2003,Scotia Sea,fatty acid 20:1+22:1 isomers (copepod indicating FA),measurement,µg / [mg dry mass],NA,NA,1.2,validation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2005,Lazarev Sea,polyunsaturated fatty acids,measurement,µg / [mg dry mass],NA,NA,7.7,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,2004,Lazarev Sea,polyunsaturated fatty acids,measurement,µg / [mg dry mass],NA,NA,25.6,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2002-2006,South Georgia,polyunsaturated fatty acids,measurement,µg / [mg dry mass],NA,NA,20.5,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,autumn,"2004, 2007",South Georgia,polyunsaturated fatty acids,measurement,µg / [mg dry mass],NA,NA,23.4,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2006,Scotia Sea,polyunsaturated fatty acids,measurement,µg / [mg dry mass],NA,NA,13.5,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,2003,Scotia Sea,polyunsaturated fatty acids,measurement,µg / [mg dry mass],NA,NA,18.4,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Lazarev Sea,algae in krill stomach,measurement,%,30,NA,75,correlation,spawning,function,assimilation,chlorophyll
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Lazarev Sea,algae in krill stomach,measurement,%,30,NA,75,correlation,spawning,function,ingestion,chlorophyll
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,South Georgia,algae in krill stomach,measurement,%,144,NA,64,correlation,spawning,function,assimilation,chlorophyll
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,South Georgia,algae in krill stomach,measurement,%,144,NA,64,correlation,spawning,function,ingestion,chlorophyll
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Scotia Sea,algae in krill stomach,measurement,%,48,NA,84,correlation,spawning,function,assimilation,chlorophyll
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Scotia Sea,algae in krill stomach,measurement,%,48,NA,84,correlation,spawning,function,ingestion,chlorophyll
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Lazarev Sea,protozoan in krill stomach,measurement,%,30,NA,11,correlation,spawning,function,ingestion,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Lazarev Sea,protozoan in krill stomach,measurement,%,30,NA,11,correlation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,South Georgia,protozoan in krill stomach,measurement,%,144,NA,88,correlation,spawning,function,ingestion,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,South Georgia,protozoan in krill stomach,measurement,%,144,NA,88,correlation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Scotia Sea,protozoan in krill stomach,measurement,%,48,NA,13,correlation,spawning,function,ingestion,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Scotia Sea,protozoan in krill stomach,measurement,%,48,NA,13,correlation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Lazarev Sea,metazoan in krill stomach,measurement,%,30,NA,14,correlation,spawning,function,ingestion,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Lazarev Sea,metazoan in krill stomach,measurement,%,30,NA,14,correlation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,South Georgia,metazoan in krill stomach,measurement,%,144,NA,14,correlation,spawning,function,ingestion,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,South Georgia,metazoan in krill stomach,measurement,%,144,NA,14,correlation,spawning,function,assimilation,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Scotia Sea,metazoan in krill stomach,measurement,%,48,NA,3,correlation,spawning,function,ingestion,POC
Schmidt et al. (2014),"Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",hybrid,years,summer,NA,Scotia Sea,metazoan in krill stomach,measurement,%,48,NA,3,correlation,spawning,function,assimilation,POC
Jager & Ravagnan (2015),Parameterising a generic model for the dynamic energy budget of antarctic krill euphausia superba,model,days,NA,NA,NA,yield of assimilates on food (carbon based),literature,mg C mg^-1 C,NA,adult,0.8,parameter,spawning,function,assimilation,POC
Walsh et al. (2020),flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula,observation,years,spring,2013-2016,Antarctic Peninsula,Mean post-larvae percent lipid 2013,Pooled samples for lipid and fatty acid analysis,percent,30,adult,22.5,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Walsh et al. (2020),flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula,observation,years,spring,2013-2016,Antarctic Peninsula,Mean post-larvae percent lipid 2014,Pooled samples for lipid and fatty acid analysis,percent,21,adult,14.8,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Walsh et al. (2020),flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula,observation,years,spring,2013-2016,Antarctic Peninsula,Mean post-larvae percent lipid 2015,Pooled samples for lipid and fatty acid analysis,percent,23,adult,24.7,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Walsh et al. (2020),flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula,observation,years,spring,2013-2016,Antarctic Peninsula,Mean post-larvae percent lipid 2016,Pooled samples for lipid and fatty acid analysis,percent,25,adult,27.1,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Jager & Ravagnan (2015),Parameterising a generic model for the dynamic energy budget of antarctic krill euphausia superba,model,days,NA,NA,NA,yield of structure on assimilates,literature,mg mg-1,NA,adult,0.8,parameter,spawning,function,assimilation,POC
Jager & Ravagnan (2015),Parameterising a generic model for the dynamic energy budget of antarctic krill euphausia superba,model,days,NA,NA,NA,yield of assimilates on structure (starvation),literature,mg mg-1,NA,adult,0.8,parameter,spawning,function,assimilation,POC
Jager & Ravagnan (2015),Parameterising a generic model for the dynamic energy budget of antarctic krill euphausia superba,model,days,NA,NA,NA,yield of storage buffer on assimilates,literature,mg mg-1,NA,adult,0.95,parameter,spawning,function,assimilation,POC
Jager & Ravagnan (2015),Parameterising a generic model for the dynamic energy budget of antarctic krill euphausia superba,model,days,NA,NA,NA,maximum area-specific assimilation flux,"growth curve, literature",mg mm−2 d−1,NA,adult,0.044,"parameter, validation",spawning,function,assimilation,POC
Meyer et al. (2002),"seasonal differences in citrate synthase and digestive enzyme activity in larval and postlarval antarctic krill, euphausia superba",observation,months,summer,2000,Lazarev Sea,Respiration carbon loss,Net sampling,% body C d-3,7,adult,1.5,parameter,spawning,function,maintenance _respiration,temperature
Meyer et al. (2002),"seasonal differences in citrate synthase and digestive enzyme activity in larval and postlarval antarctic krill, euphausia superba",observation,months,autumn,1999,Lazarev Sea,Respiration carbon loss,Net sampling,% body C d-5,5,adult,0.5,parameter,spawning,function,maintenance _respiration,temperature
Meyer et al. (2002),"seasonal differences in citrate synthase and digestive enzyme activity in larval and postlarval antarctic krill, euphausia superba",observation,months,summer,2000,Lazarev Sea,Respiration rate,Net sampling,uL O2 mg-1 DM h-1,7,adult,0.58,parameter,spawning,function,maintenance _respiration,temperature
Meyer et al. (2002),"seasonal differences in citrate synthase and digestive enzyme activity in larval and postlarval antarctic krill, euphausia superba",observation,months,autumn,1999,Lazarev Sea,Respiration rate,Net sampling,uL O2 mg-1 DM h-1,5,adult,0.2,parameter,spawning,function,maintenance _respiration,temperature
